Mapping parameters for Rhincodon typus (Whale shark)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."



Occurrence cells used for creating environmental envelope (n = 1215)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Rhincodon,typus,-22.25,113.25,3211:123:1,1392,25.5725860595703,3.31230306625366,34.9098358154297,34.6595268249512,2.98399990424514,0,127.793327331543,91
Rhincodon,typus,-22.25,113.75,3211:123:2,499,25.4179458618164,24.8472347259521,34.774227142334,35.0381927490234,3.77100007608533,0,212.541885375977,19
Rhincodon,typus,-22.25,165.25,3216:225:1,3439,24.7692794799805,1.65425002574921,35.2710227966309,34.690258026123,1.30100001115352,0,156.980941772461,107
Rhincodon,typus,-22.25,165.75,3216:225:2,2791,24.7577133178711,1.69624900817871,35.2516593933105,34.6763343811035,1.41499994788319,0,157.205139160156,103
Rhincodon,typus,-22.25,166.25,3216:226:1,791,24.6104297637939,24.5831813812256,35.2767791748047,35.3711776733398,1.53200002387166,0,212.534271240234,22
Rhincodon,typus,-22.25,167.25,3216:227:1,464,24.9820137023926,8.74013328552246,35.1408538818359,34.5621299743652,1.65400002151728,0,204.401458740234,25
Rhincodon,typus,-22.25,-40.25,5204:120:1,248,24.7832069396973,18.9981460571289,37.0175552368164,36.4275207519531,14.925999566912699,0,211.710708618164,139
Rhincodon,typus,-22.25,-41.75,5204:121:2,15,23.1110343933105,23.5819149017334,36.0566749572754,36.7231330871582,19.14899982512,0,215.921356201172,9
Rhincodon,typus,-21.75,13.75,3201:113:4,101,16.2039661407471,15.0836448669434,35.222095489502,35.2170867919922,103.366002440453,0,23.9148406982422,25
Rhincodon,typus,-21.75,112.75,3211:112:4,3118,25.6677017211914,1.3827600479126,35.0070533752441,34.722484588623,1.79699994623661,0,177.816833496094,155
Rhincodon,typus,-21.75,113.75,3211:113:4,880,25.7741546630859,7.67847299575806,34.8559913635254,34.5678024291992,3.78699996508658,0,147.214630126953,26
Rhincodon,typus,-21.75,114.25,3211:114:3,42,25.3937683105469,25.623628616333,34.7945251464844,34.9923553466797,5.107999779284,0,208.53532409668,24
Rhincodon,typus,-21.75,114.75,3211:114:4,5,25.4706649780273,25.588695526123,34.7064552307129,35.0365142822266,5.3840000182390195,0,207.879379272461,18
Rhincodon,typus,-21.75,164.25,3216:114:3,3553,24.9677467346191,1.6508070230484,35.2327079772949,34.6884994506836,1.2430000351741899,0,156.803192138672,128
Rhincodon,typus,-21.25,35.75,3203:215:2,476,26.3229274749756,7.74306583404541,34.2430534362793,34.7131500244141,19.742999225854902,0,132.407730102539,78
Rhincodon,typus,-21.25,56.25,3205:216:1,2995,25.8034133911133,1.39245498180389,35.182918548584,34.725269317627,0.72900002123788,0,180.617706298828,104
Rhincodon,typus,-21.25,113.75,3211:113:2,1009,26.1407680511475,5.52620792388916,34.9723358154297,34.6226272583008,2.96199996955693,0,116.298271179199,107
Rhincodon,typus,-21.25,115.25,3211:215:1,17,25.763126373291,25.6371631622314,34.3874130249023,34.9699821472168,4.97800018638372,0,209.36848449707,50
Rhincodon,typus,-21.25,163.75,3216:113:2,3563,25.2506008148193,1.6487489938736,35.1873474121094,34.6884803771973,1.1650000233203202,0,156.767761230469,128
Rhincodon,typus,-21.25,165.75,3216:215:2,305,25.716028213501,25.5256576538086,35.0223274230957,35.2048416137695,1.46299996413291,0,209.783874511719,15
Rhincodon,typus,-21.25,166.75,3216:216:2,2251,25.7032260894775,1.94281399250031,35.0450592041016,34.6758232116699,1.13400002010167,0,151.093841552734,104
Rhincodon,typus,-21.25,167.25,3216:217:1,1820,25.6446838378906,2.25131011009216,35.0687217712402,34.6449317932129,1.1790000135079,0,147.981063842773,24
Rhincodon,typus,-21.25,179.75,3217:219:2,3485,25.8264865875244,1.56217503547668,35.024974822998,34.684196472168,0.967000029049814,0,155.931243896484,217
Rhincodon,typus,-21.25,-159.75,5215:219:2,3091,26.0373477935791,3.37284302711487,35.5599327087402,34.470272064209,0.24799999664537598,0,158.369369506836,26
Rhincodon,typus,-20.75,55.25,3205:205:3,1880,26.0359382629395,3.48456597328186,35.1349639892578,34.6481552124023,0.790000020060688,0,150.350494384766,23
Rhincodon,typus,-20.75,55.75,3205:205:4,1984,25.9458503723145,2.2436580657959,35.1487922668457,34.7213554382324,0.798999972175807,0,165.530258178711,23
Rhincodon,typus,-20.75,112.75,3211:102:4,1115,26.0282497406006,4.71680879592896,34.9829444885254,34.6317901611328,1.7219999572262201,0,109.745002746582,204
Rhincodon,typus,-20.75,113.75,3211:103:4,1112,26.3261566162109,4.49189376831055,34.9813995361328,34.6345100402832,2.33700009994209,0,108.185829162598,163
Rhincodon,typus,-20.75,114.75,3211:104:4,359,26.3604640960693,22.2859230041504,34.9255638122559,35.1105880737305,3.72899998910725,0,190.198226928711,104
Rhincodon,typus,-20.75,115.75,3211:205:4,19,25.9250259399414,25.8086967468262,33.9204597473145,34.9700317382813,5.53099997341633,0,209.900634765625,50
Rhincodon,typus,-20.75,116.75,3211:206:4,11,26.1183948516846,26.0151100158691,33.9499740600586,35.025577545166,6.82446965947747,0,208.159454345703,11
Rhincodon,typus,-20.75,117.25,3211:207:3,6,26.1280536651611,26.0660953521729,34.0470199584961,35.0458106994629,6.9813854061067095,0,207.810333251953,9
Rhincodon,typus,-20.75,162.25,3216:102:3,2384,25.3242244720459,1.69386100769043,35.2237014770508,34.6844596862793,1.0659999679774,0,156.626449584961,218
Rhincodon,typus,-20.75,163.75,3216:103:4,3519,25.5252456665039,1.64767897129059,35.0909690856934,34.6886749267578,1.388999982737,0,156.75537109375,104
Rhincodon,typus,-20.75,166.25,3216:206:3,1844,25.8442897796631,2.0993390083313,35.0252113342285,34.644229888916,1.0450000409036901,0,148.81413269043,26
Rhincodon,typus,-20.75,-29.25,5202:209:3,3991,25.4073734283447,1.10966396331787,37.2361145019531,34.8200187683105,0.354999996488914,0,241.809265136719,104
Rhincodon,typus,-20.75,-158.75,5215:208:4,4750,26.2269096374512,0.885864019393921,35.5981216430664,34.705207824707,0.228000004426576,0,197.946426391602,170
Rhincodon,typus,-20.75,-173.75,5217:103:4,4927,26.0767459869385,0.753594994544983,35.1843109130859,34.7076110839844,0.67699997453019,0,209.32080078125,170
Rhincodon,typus,-20.25,44.25,3204:104:1,198,27.2721900939941,26.2444343566895,33.4997863769531,35.1761054992676,12.7359237521887,0,201.31510925293,18
Rhincodon,typus,-20.25,57.25,3205:207:1,2965,25.9880619049072,2.28662705421448,35.0807838439941,34.7220573425293,0.942000013310462,0,162.979141235352,23
Rhincodon,typus,-20.25,57.75,3205:207:2,1027,25.8354110717773,25.6075706481934,35.1080780029297,35.0363883972168,0.895000004675239,0,208.97883605957,15
Rhincodon,typus,-20.25,58.25,3205:208:1,4054,25.859655380249,0.821604013442993,35.1053428649902,34.7164192199707,0.701999990269542,0,201.140930175781,104
Rhincodon,typus,-20.25,63.25,3206:103:1,3108,25.5747680664063,1.54093599319458,35.0298881530762,34.7240409851074,0.35899999784305703,0,177.314895629883,108
Rhincodon,typus,-20.25,113.25,3211:103:1,927,26.3268356323242,5.06798076629639,34.9487266540527,34.627269744873,1.77199998870492,0,109.782829284668,227
Rhincodon,typus,-20.25,113.75,3211:103:2,1103,26.4679317474365,4.49426221847534,34.9521903991699,34.6377830505371,2.09899991750717,0,105.410499572754,218
Rhincodon,typus,-20.25,-70.25,5207:100:1,614,18.5972442626953,12.6888027191162,34.7680511474609,34.8502044677734,65.7939985394478,0,18.5415649414063,21
Rhincodon,typus,-19.75,63.25,3106:393:3,1112,25.6929836273193,25.3246364593506,34.9850196838379,35.0250778198242,0.433000008342788,0,210.714385986328,26
Rhincodon,typus,-19.75,110.75,3111:390:4,3096,25.9500350952148,1.41028594970703,34.904842376709,34.7234954833984,1.26799999270588,0,175.303024291992,435
Rhincodon,typus,-19.75,111.75,3111:391:4,2050,26.1265563964844,2.32658505439758,34.9005432128906,34.719409942627,1.57299998681992,0,142.749481201172,357
Rhincodon,typus,-19.75,112.75,3111:392:4,1207,26.3306846618652,4.46370077133179,34.9106483459473,34.6397666931152,1.64300005417317,0,105.335784912109,298
Rhincodon,typus,-19.75,113.75,3111:393:4,1087,26.5990219116211,4.45543193817139,34.9129066467285,34.6399841308594,2.08700005896389,0,103.097709655762,244
Rhincodon,typus,-19.75,114.75,3111:394:4,1340,26.8350238800049,3.82385993003845,34.9313278198242,34.657169342041,2.9420000500977,0,108.892295837402,175
Rhincodon,typus,-19.75,115.25,3111:495:3,714,26.8350868225098,12.0089454650879,34.9347686767578,35.1775016784668,3.6689999978989403,0,152.088150024414,164
Rhincodon,typus,-19.75,115.75,3111:495:4,110,26.8165225982666,24.3674926757813,34.9317855834961,34.9003372192383,3.6989999935030897,0,205.82600402832,149
Rhincodon,typus,-19.75,116.25,3111:496:3,76,26.790018081665,25.2100849151611,34.9111480712891,34.8867073059082,3.66599997505546,0,210.222717285156,141
Rhincodon,typus,-19.75,116.75,3111:496:4,63,26.7977886199951,25.2973651885986,34.8918342590332,34.8850402832031,3.83300008252263,0,209.884613037109,141
Rhincodon,typus,-19.75,117.75,3111:497:4,40,26.8527660369873,25.9098091125488,34.8563575744629,34.9299850463867,4.12900000810623,0,209.416305541992,97
Rhincodon,typus,-19.75,148.25,3114:498:3,28,25.3634872436523,25.5196228027344,35.3511581420898,35.170783996582,9.90100018680096,0,209.020874023438,24
Rhincodon,typus,-19.75,161.75,3116:391:4,3429,25.9182891845703,1.63835597038269,35.0896377563477,34.6918525695801,0.836000021081418,0,156.673538208008,262
Rhincodon,typus,-19.75,162.75,3116:392:4,3534,25.9048099517822,1.64010000228882,35.0502166748047,34.6909446716309,1.15999998524785,0,156.684463500977,157
